Year,Month,Day,Time,Town / Village,Area,Occupation_x000D_(Where Relevant),Description
1997,1,20,19:45,Caernarfon Bay,Caernarfonshire,-,"A huge, blue, fast object in the sky. There was a cloud of smoke and it made the floor shake."
1997,1,27,22:40,Newport,South Glamorgan,-,A 'tube of light' coming down from the sky. It first looked like a star moving towards the car. Left a dust cover on the car.
1997,1,28,20:00,Swansea,Glamorgan,-,Three white lights accompanied by a red light. They seemed to be many miles away.
1997,2,2,07:30,Caerphilly,Mid-Glamorgan,-,"Cigar shaped object, with wings but no tail. Jade green in colour. White lights through windows. Moved in a straight line."
1997,2,10,09:35,Barry,Glamorgan,-,One oblong object. It was red in the centre and had up to fifteen lights. There was constant movement.
1997,2,14,08:15,Roath/Cardiff,Glamorgan,-,"One, triangular shaped object. A shiny, golden colour. It was moving in a straight line and was fast."
1997,2,18,22:06,A449/Llanwern/Newport,Monmouthshire,-,There was a cream coloured light.
1997,3,10,03:45,Llanfair Caereinion,Powys,-,A round ball with a tail. Was like a torch with a flare. There was no movement.
1997,3,11,20:26,Lynas-Wal/Llaneilian,Isle of Anglesey,-,One object with white and red lights.
1997,3,15,20:30,A483/Wrexham-Newtown,Denbighshire,-,"One, large, oval, white and very bright object. The object was straight and level and was moving parallel with the car."
1997,4,8,09:01,Penycae,Denbighshire,-,An object was moving in 90 degree angles. It sped up and then slowed down.
1997,4,13,22:00,Penarth Marina,South Glamorgan,-,There were two identically sized crafts. Extremely bright and both an obscured shape. They oscillated in an eliptical pattern.
1997,5,1,03:56,Cathays/Cardiff,South Glamorgan,-,One round object with lights. There was one medium constant light.There was an unusual noise. It made erratic jerky movements.
1997,5,22,23:10,Abergavenny,Monmouthshire,-,"One large, triangular shaped object. Black in colour. Was moving to the West."
1997,5,27,04:20,Gorseinon nr Swansea,West Glamorgan,-,"One round object. Yellow in colour, bright and shimmering. It was moving from left to right."
1997,5,30,10:57,Wrexham,Denbighshire,-,"One object, with one light on the front. About 450 ft up. It moved West and picked up speed."
1997,6,6,16:18,Gwernaffield/nr Mold,Flintshire,-,"A round, black object was travelling across the sky at speed. There appeared to be something draping from the bottom."
1997,6,9,21:10,Neath,West Glamorgan,-,"One large, house sized, rugby ball shaped object. Was grey and black in colour. There were lights on it, in a triangle shape."
1997,7,5,22:15,Maesycoed/Pontypridd,Mid Glamorgan,-,A triangular object. Had multicoloured flashing lights. It hovered and then shot off in an Easterly direction at high speed.
1997,7,5,01:00,Wrexham,Denbighshire,-,"A large, round object, as big as a house. It had a cluster of lights within it. It was pulsating left and right, as if on a pivot."
1997,7,8,22:10,Llay/Wrexham,Denbighshire,-,"One object, with four lights. All yellow/orange in colour. It moved to the North, then turned to it's original position, then disappeared."
1997,8,8,23:30,Abergavenny,Monmouthshire,-,"Oefnfeec ot.b  ject, that was bigger than a car. It was white and very bright. It came down the road."
1997,8,11,-,Cardiff,Glamorgan,-,"One shooting star. It zig-zagged across the sky, and then it disappeared."
1997,8,12,17:30,Cumbran nr Newport,Gwent,-,"A small triangular shaped object. It had black wings, and was sausage shaped in the middle. It was moving very fast."
2007,9,7,22:20,Mynydd Caerau,Glamorgan,-,"One round object, with a white light. It also had flashing/rotating blue and red lights. It moved up and down."
1997,10,1,04:45,Brongest,Dyfed,-,"Three round, star sized objects, in a triangular formation. They circled around each other, and then went back to their original position. White and very bright. They were"
1997,10,2,20:19,Townhill/Swansea,West Glamorgan,-,"One round shaped object. Red, orange and green in colour and bright. The object was stationary."
1997,10,22,02:49,Caernarfon,Caernarfonshire,-,"One object that had four lights on it. The lights were green, white, red and blue. The object was spinning in the sky."
1997,11,30,17:27,Bridgend,Mid Glamorgan,-,"One large, circular object. White and very bright. The object was moving backwards and forwards."
1997,12,5,02:09,8 Miles West,Isle of Anglesey,Pilot,"A bright, circular red light. About 3mm in diameter, relative to cockpit windscreen. Was moving in a Westerly direction."
1998,1,4,01:50,Raglan,Gwent,-,Circular in shape with a tail and extremely bright. It moved incredibly fast in different directions across the sky.
1998,1,24,15:00,Swansea,West Glamorgan,-,"Black, triangular shaped object, with two fins."
1998,1,25,20:25,Newport,Gwent,-,"One object, thought to be a star, with stud like lights underneath in a circle. Was travelling North in a straight line."
1998,2,9,15:40,Barry,South Glamorgan,-,"Blast of orange light. In the same direction, three golden balls appeared, that were brighter and then they disappeared."
1998,3,11,19:45,Bwlchgwyn,Clwyd,-,"A large, black, oblong shaped object, approx. 30-40ft long. It was about 15-25ft off the ground."
1998,3,30,23:20,Wrexham,Clwyd,-,"One large, square-ish, very bright object. Was blue-ish with lights around it. There was a humming sound and a nasty smell."
1998,3,31,04:20,Clywd Mountains/Clywd,Powys,-,"An object, had blue lights on the top and white lights on the bottom. Was 40ft in length. About 600ft high."
1998,5,9,21:40,Crumlin,Gwent,-,"A huge meccano/round type looking structure/object, with pulsing red, green and white lights. Very slow moving."
1998,5,18,03:15,Llanfair P G,Gwynedd,-,"One long shaped object, with six flashing lights. They were flashing from faded to very bright. They were moving from North to South."
1998,5,28,00:32,Bangor,Gwynedd,-,"One light, golden in appearance, larger and brighter than a planet. Was travelling from South West to the East."
1998,5,29,02:15,"Ogmore Vale,nr Bridgend",Mid Glamorgan,-,"No distinctive shape, but was extremely bright red. Had white and blue flashing lights. It was extremely noisy. Shot off at great speed."
1998,6,12,21:00,Benllech,Isle of Anglesey,-,"One white ball of light, the size of a 5p piece at arms length. Plus, there were two smaller, faint objects in trail too."
1998,8,2,01:40,Wrexham,Clwyd,-,"One glowing outer ring, surrounding an oval structure with pulsating lights."
1998,8,5,00:30,Brecon,Dyfed,-,"Vortex with white, red and green flashing lights. Rose straight up vertically from behind woods in the form of an arc. Smokey trail."
1998,8,12,22:00,Barry,South Glamorgan,-,Four main lights formed a cross. There were bright green and orange lights in the centre. Was larger than a 747.
1998,8,13,04:45,Llanrhaeaedr,Clwyd,-,"One huge, silver, star shaped object."
1998,8,21,09:50,Porthcawl,Mid Glamorgan,-,"A star size, bright object. Was blue/white in colour."
1998,8,24,00:30,Swansea,West Glamorgan,-,"A very bright, white light in the sky, moving fast."
1998,9,21,21:30,Waunfawr,Gwynedd,-,Spheres - colours on and off in sequences.
1998,11,15,03:45,Cardiff,South Glamorgan,-,"One huge 'aura' was seen, was tapered to one end, like a pen. Was multicoloured and shimmering."
1998,11,16,06:45,Llandrinio,Powys,-,One beam of blue light that was very bright. It then turned white and then disappeared leaving a vapour trail.
1998,11,16,06:40,Cardiff,South Glamorgan,-,"One bright, white light in the shape of a circle, with a vapour trail."
1998,11,16,05:15,Penrhyn Bay/Conwy,Gwynedd,-,"There were several blue-ish, white-ish lights."
1998,11,29,17:45,Abergevenny,Gwent,-,"One large, dark hexagonal object with two white lights. Was humming and flew low over the witnesses house."
1998,12,5,05:10,Blaenau,Gwent,-,"One very bright, white light. Very high altitude."
1999,1,7,18:30,Glanarfon,Wales,-,"One flat, triangular object, (like a shield), white in colour. Coloured lights mainly round the edge of the craft. Spotlight beneath."
1999,1,9,02:00,The Rhondda,Mid Glamorgan,-,"One large oval, with a sphere in the middle. Had bright blue, green and white lights on top of the craft. There was a humming noise."
1999,1,10,01:30,Llanelli,Dyfed,-,"One object, a pinprick of light changing colour between red, green and orange."
1999,1,21,20:45,Corwen,Denbighshire,-,"Flying saucer shape, with three square like windows, like a house. Was light - got lighter, then dimmed. Slightly tilted."
1999,2,2,17:25,Swansea,West Glamorgan,-,Cross shaped collection of five star like objects. Gold coloured lights.
1999,2,10,02:45,Swansea,West Glamorgan,Retired Air Traffic Controller,"A single blue and red object. Very bright. It made an S pattern in the sky, when finished, moved North East."
1999,2,11,18:45,Caernarvon,Gwynedd,-,"Single aircraft/object, that had rotors. It had blue, red and white strobes."
1999,3,9,18:30,Ammanford,Dyfed,-,Two dark grey objects. They then looked translucent. They were manoeuvring and then disappeared into the cloud.
